//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=240       
StartTime=2021/09/02 08:51:05
EndTime=2021/09/02 08:51:28
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],DO [mg/l],電池電圧 [V],
2021/09/02,08:51:05,-0.5568,28.924,0.028,0.047,42.872,995.987,-4.010,0.14,0.14,32.88,95.91,7.377,7.38,
2021/09/02,08:51:05,-0.5176,28.792,11.654,21.102,19476.897,1004.694,4.696,0.10,0.10,175.73,95.55,6.907,7.37,
2021/09/02,08:51:05,-0.5176,28.516,22.271,37.866,35147.117,1012.690,12.692,0.48,0.48,38.97,96.49,6.596,7.39,
2021/09/02,08:51:05,-0.5176,28.372,21.416,36.451,33933.412,1012.098,12.100,0.57,0.57,9.84,97.24,6.689,7.40,
2021/09/02,08:51:05,-0.5176,28.317,21.454,36.471,33991.006,1012.143,12.146,0.59,0.59,3.39,97.63,6.720,7.41,
2021/09/02,08:51:05,-0.5176,28.307,21.455,36.466,33993.048,1012.147,12.150,0.60,0.60,1.83,97.66,6.724,7.40,
2021/09/02,08:51:05,-0.5176,28.301,21.464,36.476,34006.451,1012.156,12.158,0.60,0.60,1.44,97.58,6.719,7.42,
2021/09/02,08:51:05,-0.5176,28.293,21.469,36.478,34013.593,1012.162,12.164,0.60,0.60,1.29,97.34,6.702,7.43,
2021/09/02,08:51:05,-0.5176,28.288,21.477,36.487,34025.394,1012.170,12.172,0.60,0.60,1.21,97.12,6.686,7.42,
2021/09/02,08:51:05,-0.5176,28.298,21.475,36.491,34022.116,1012.165,12.167,0.60,0.60,1.18,96.92,6.673,7.44,
2021/09/02,08:51:06,-0.5176,28.307,21.471,36.491,34016.203,1012.159,12.162,0.60,0.60,1.19,96.65,6.655,7.45,
2021/09/02,08:51:06,-0.5176,28.305,21.468,36.485,34012.168,1012.158,12.160,0.60,0.60,1.17,96.44,6.641,7.45,
2021/09/02,08:51:06,-0.5176,28.323,21.458,36.482,33996.357,1012.144,12.147,0.58,0.58,1.11,96.24,6.628,7.45,
2021/09/02,08:51:06,-0.5176,28.333,21.450,36.477,33984.820,1012.136,12.138,0.58,0.58,1.08,95.65,6.588,7.46,
2021/09/02,08:51:06,-0.5176,28.347,21.434,36.461,33960.161,1012.119,12.121,0.60,0.60,1.11,95.37,6.569,7.47,
2021/09/02,08:51:06,-0.5176,28.357,21.420,36.447,33939.815,1012.105,12.107,0.60,0.60,1.09,94.91,6.537,7.47,
2021/09/02,08:51:06,-0.5176,28.357,21.410,36.431,33925.021,1012.097,12.100,0.58,0.58,1.02,94.33,6.497,7.46,
2021/09/02,08:51:06,-0.4979,28.347,21.430,36.455,33954.232,1012.116,12.118,0.57,0.57,1.05,93.68,6.453,7.47,
2021/09/02,08:51:06,-0.4979,28.333,21.428,36.442,33952.654,1012.119,12.121,0.57,0.57,1.08,93.13,6.416,7.46,
2021/09/02,08:51:06,-0.5176,28.326,21.422,36.428,33944.542,1012.117,12.119,0.57,0.57,1.11,92.31,6.359,7.46,
2021/09/02,08:51:07,-0.4979,28.329,21.423,36.432,33946.348,1012.117,12.119,0.57,0.57,1.11,91.56,6.308,7.47,
2021/09/02,08:51:07,-0.5176,28.334,21.421,36.432,33942.007,1012.113,12.115,0.57,0.57,1.07,90.76,6.252,7.48,
2021/09/02,08:51:07,-0.5176,28.333,21.420,36.430,33941.236,1012.113,12.115,0.57,0.57,1.07,89.91,6.193,7.48,
2021/09/02,08:51:07,-0.5176,28.328,21.426,36.436,33950.562,1012.119,12.121,0.58,0.58,1.09,89.17,6.141,7.47,
2021/09/02,08:51:07,-0.5176,28.320,21.430,36.436,33955.992,1012.124,12.127,0.58,0.58,1.14,88.52,6.096,7.49,
2021/09/02,08:51:07,-0.4979,28.322,21.428,36.434,33953.026,1012.122,12.125,0.57,0.57,1.12,87.87,6.051,7.50,
2021/09/02,08:51:07,-0.5176,28.315,21.417,36.413,33938.118,1012.116,12.119,0.57,0.57,1.11,87.40,6.020,7.50,
2021/09/02,08:51:07,-0.4979,28.310,21.422,36.416,33944.600,1012.121,12.124,0.55,0.55,1.15,86.98,5.992,7.49,
2021/09/02,08:51:07,-0.5176,28.320,21.429,36.435,33954.921,1012.124,12.126,0.57,0.57,1.17,86.66,5.970,7.51,
2021/09/02,08:51:07,-0.5176,28.331,21.444,36.465,33975.302,1012.131,12.133,0.55,0.55,1.29,86.36,5.949,7.50,
2021/09/02,08:51:08,-0.5176,28.342,21.451,36.484,33984.994,1012.133,12.135,0.54,0.54,1.22,85.97,5.922,7.50,
2021/09/02,08:51:08,-0.5176,28.340,21.437,36.461,33964.835,1012.123,12.125,0.54,0.54,1.15,85.68,5.902,7.49,
2021/09/02,08:51:08,-0.5176,28.327,21.423,36.430,33945.493,1012.117,12.119,0.54,0.54,1.11,85.38,5.882,7.50,
2021/09/02,08:51:08,-0.5176,28.324,21.419,36.422,33939.990,1012.115,12.117,0.54,0.54,1.08,85.13,5.865,7.49,
2021/09/02,08:51:08,-0.5176,28.321,21.422,36.425,33944.558,1012.118,12.120,0.55,0.55,1.12,84.85,5.845,7.51,
