//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=150       
StartTime=2021/09/02 11:20:22
EndTime=2021/09/02 11:20:36
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],DO [mg/l],電池電圧 [V],
2021/09/02,11:20:22,-0.5372,31.088,25.077,44.195,38975.238,1013.941,13.943,0.34,0.34,2.12,106.69,6.878,7.38,
2021/09/02,11:20:22,-0.5764,31.092,25.081,44.205,38980.082,1013.942,13.945,0.34,0.34,2.12,106.96,6.897,7.39,
2021/09/02,11:20:22,-0.5764,31.086,25.090,44.214,38993.497,1013.951,13.954,0.34,0.34,2.10,107.07,6.904,7.41,
2021/09/02,11:20:22,-0.5764,31.075,25.100,44.221,39007.267,1013.962,13.964,0.32,0.32,2.12,107.02,6.900,7.40,
2021/09/02,11:20:22,-0.5764,31.081,25.102,44.229,39010.109,1013.961,13.964,0.34,0.34,2.12,107.24,6.914,7.42,
2021/09/02,11:20:22,-0.5764,31.084,25.105,44.236,39014.313,1013.963,13.966,0.33,0.33,2.05,107.50,6.930,7.43,
2021/09/02,11:20:22,-0.5764,31.078,25.120,44.255,39034.944,1013.976,13.978,0.34,0.34,2.03,107.83,6.951,7.43,
2021/09/02,11:20:22,-0.5764,31.087,25.119,44.262,39034.428,1013.973,13.975,0.34,0.34,2.02,107.94,6.958,7.43,
2021/09/02,11:20:22,-0.5764,31.095,25.121,44.270,39035.987,1013.971,13.974,0.34,0.34,1.95,108.06,6.966,7.44,
2021/09/02,11:20:22,-0.5764,31.105,25.116,44.271,39029.337,1013.964,13.967,0.35,0.35,1.91,108.05,6.965,7.44,
2021/09/02,11:20:23,-0.5961,31.101,25.107,44.254,39016.880,1013.959,13.961,0.34,0.34,1.98,108.07,6.966,7.45,
2021/09/02,11:20:23,-0.5961,31.093,25.119,44.266,39033.499,1013.970,13.973,0.33,0.33,1.99,108.02,6.961,7.47,
2021/09/02,11:20:23,-0.5764,31.088,25.129,44.278,39048.169,1013.980,13.982,0.34,0.34,2.08,108.12,6.967,7.45,
2021/09/02,11:20:23,-0.5764,31.128,25.118,44.292,39030.061,1013.958,13.960,0.32,0.32,2.08,108.24,6.975,7.47,
2021/09/02,11:20:23,-0.5764,31.140,25.112,44.293,39021.900,1013.949,13.952,0.33,0.33,2.01,108.40,6.986,7.47,
2021/09/02,11:20:23,-0.5764,31.132,25.113,44.287,39022.652,1013.952,13.955,0.34,0.34,2.06,108.50,6.992,7.47,
2021/09/02,11:20:23,-0.5764,31.128,25.111,44.281,39020.798,1013.953,13.955,0.33,0.33,1.98,108.62,7.000,7.47,
