//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=530       
StartTime=2021/09/02 08:33:48
EndTime=2021/09/02 08:34:40
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],DO [mg/l],電池電圧 [V],
2021/09/02,08:33:48,-0.5372,28.549,0.028,0.047,43.470,996.097,-3.901,0.05,0.05,2.73,95.69,7.356,7.36,
2021/09/02,08:33:48,-0.5764,28.558,0.028,0.047,43.659,996.094,-3.904,0.08,0.08,2.75,95.61,7.350,7.39,
2021/09/02,08:33:48,-0.5764,28.561,0.028,0.047,43.755,996.093,-3.904,0.11,0.11,2.82,95.63,7.350,7.39,
2021/09/02,08:33:48,-0.5764,28.546,0.028,0.047,43.706,996.097,-3.900,0.11,0.11,3.33,95.60,7.346,7.39,
2021/09/02,08:33:48,-0.5764,28.534,0.028,0.047,43.689,996.101,-3.897,0.11,0.11,3.99,95.56,7.342,7.40,
2021/09/02,08:33:48,-0.5764,28.528,0.028,0.047,43.497,996.102,-3.895,0.05,0.05,4.41,95.62,7.346,7.41,
2021/09/02,08:33:48,-0.5764,28.524,0.028,0.047,43.799,996.104,-3.894,0.03,0.03,4.41,95.57,7.340,7.42,
2021/09/02,08:33:48,-0.5568,28.522,0.028,0.047,43.833,996.104,-3.893,0.06,0.06,3.80,95.61,7.343,7.42,
2021/09/02,08:33:48,-0.5568,28.516,0.028,0.047,43.766,996.106,-3.891,0.08,0.08,3.12,95.53,7.337,7.42,
2021/09/02,08:33:48,-0.5764,28.508,0.028,0.047,43.806,996.108,-3.889,0.05,0.05,2.73,95.48,7.333,7.43,
2021/09/02,08:33:49,-0.5764,28.500,0.028,0.047,43.545,996.111,-3.887,0.07,0.07,2.62,95.51,7.335,7.44,
2021/09/02,08:33:49,-0.5764,28.494,0.028,0.047,43.548,996.112,-3.885,0.01,0.01,2.55,95.62,7.344,7.46,
2021/09/02,08:33:49,-0.5764,28.496,0.028,0.047,43.415,996.112,-3.886,0.01,0.01,2.55,95.69,7.350,7.44,
2021/09/02,08:33:49,-0.5764,28.501,0.028,0.047,43.977,996.110,-3.887,0.03,0.03,2.55,95.56,7.340,7.45,
2021/09/02,08:33:49,-0.5764,28.513,0.028,0.047,43.673,996.107,-3.891,0.05,0.05,2.60,95.47,7.333,7.47,
2021/09/02,08:33:49,-0.5568,28.527,0.028,0.047,43.727,996.103,-3.895,0.08,0.08,2.65,95.52,7.336,7.45,
2021/09/02,08:33:49,-0.5764,28.539,0.028,0.047,43.546,996.099,-3.898,0.06,0.06,2.87,95.56,7.340,7.47,
